,age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_bracket
0,39, Private, 9th,5, Married-civ-spouse, Other-service, Wife, Black, Female,3411,0,34, United-States, <=50K
1,77, Private, 9th,5, Married-civ-spouse, Priv-house-serv, Wife, Black, Female,0,0,10, United-States, <=50K
2,38, Private, 9th,5, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,24, Haiti, <=50K
3,28, Private, 9th,5, Married-civ-spouse, Protective-serv, Wife, Black, Female,0,0,40, United-States, <=50K
4,37, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,48, United-States, <=50K
5,45, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, >50K
6,55, Private, 9th,5, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,23, United-States, <=50K
7,27, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,37, Portugal, <=50K
8,31, Private, 9th,5, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
9,30, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, Portugal, <=50K
10,28, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
11,46, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
12,70, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,2653,0,40, United-States, <=50K
13,31, Private, 9th,5, Married-civ-spouse, Farming-fishing, Wife, White, Female,0,0,42, United-States, <=50K
14,40, Local-gov, 9th,5, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, Yugoslavia, >50K
15,52, Local-gov, 9th,5, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
16,46, Self-emp-inc, 9th,5, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,50, United-States, <=50K
17,41, Self-emp-inc, 9th,5, Married-civ-spouse, Sales, Wife, White, Female,0,0,70, Dominican-Republic, <=50K
18,72, Private, 9th,5, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,48, United-States, >50K
19,45, Private, 9th,5, Married-civ-spouse, Adm-clerical, Husband, Black, Male,5178,0,40, United-States, >50K
20,57, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
21,57, Private, 9th,5, Married-civ-spouse, Sales, Husband, Black, Male,0,0,55, United-States, >50K
22,47, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,56, ?, <=50K
23,61, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,20, Trinadad&Tobago, <=50K
24,63, Private, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States, <=50K
25,32, Private, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States, <=50K
26,56, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
27,38, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
28,58, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,3781,0,40, United-States, <=50K
29,44, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
30,53, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
31,44, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
32,62, Private, 9th,5, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,42, United-States, <=50K
33,68, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,44, United-States, <=50K
34,31, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,48, United-States, <=50K
35,58, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,60, United-States, <=50K
36,28, Local-gov, 9th,5, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Trinadad&Tobago, >50K
37,51, Local-gov, 9th,5, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
38,35, Federal-gov, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States, <=50K
39,35, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Mexico, <=50K
40,30, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Mexico, <=50K
41,45, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,1848,40, United-States, >50K
42,54, Private, 9th,5, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
43,51, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
44,58, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, >50K
45,37, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
46,59, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
47,31, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,43, United-States, <=50K
48,33, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,33, Mexico, <=50K
49,30, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,37, United-States, <=50K
50,38, Private, 9th,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,54, Mexico, <=50K
51,76, Private, 9th,5, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,13, United-States, <=50K
52,35, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,46, United-States, <=50K
53,39, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,43, Mexico, <=50K
54,31, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43, United-States, <=50K
55,60, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,2228,0,37, United-States, <=50K
56,46, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43, United-States, <=50K
57,60, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,49, United-States, <=50K
58,63, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,16, United-States, <=50K
59,26, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States, <=50K
60,39, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,25, United-States, <=50K
61,59, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,30, United-States, <=50K
62,27, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,32, United-States, <=50K
63,26, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
64,36, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Guatemala, <=50K
65,69, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,1424,0,35, United-States, <=50K
66,62, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,35, United-States, <=50K
67,41, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States, <=50K
68,60, Private, 9th,5, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
69,28, Private, 9th,5, Married-civ-spouse, Sales, Husband, White, Male,4508,0,40, United-States, <=50K
70,51, Private, 9th,5, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
71,56, Private, 9th,5, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
